Field1,ID,time,lon,lat,event_id,tagtype,sex,height_above_wgs84,height_above_wgs84_1,fix,point_state,moving,on_land,POINT_X,POINT_Y,POINT_Z,Terrain
5782,NS-2023-16,2023-11-20 04:01:04,-63.449485799999998,45.283187900000001,30289447231,4g overwater,m,,45.000000000000000,3D,,FALSE,TRUE,-63.449487660999978,45.283178451000026,0.000000000000000,48.8870049
5783,NS-2023-16,2023-11-21,-63.449508700000003,45.283214600000001,30311757187,4g overwater,m,,62.000000000000000,3D,,FALSE,TRUE,-63.449510560999954,45.283205151000061,0.000000000000000,48.8870049
5784,NS-2023-16,2023-11-21 01:59:28,-63.449485799999998,45.283237499999998,30311757191,4g overwater,m,,41.000000000000000,3D,,FALSE,TRUE,-63.449487660999978,45.283228051000037,0.000000000000000,48.8750038
5804,NS-2023-16,2023-11-30 00:02:08,-63.449500000000000,45.282899999999998,30354499614,4g overwater,m,,-3.000000000000000,3D,,FALSE,TRUE,-63.449501860999987,45.282890551000037,0.000000000000000,48.7749977
5777,NS-2023-16,2023-11-19,-63.449153899999999,45.287872299999997,30289447214,4g overwater,m,,65.000000000000000,3D,,FALSE,TRUE,-63.449155760999986,45.287862850000067,0.000000000000000,60.6480064
5778,NS-2023-16,2023-11-19 01:59:28,-63.449073800000001,45.287899000000003,30289447217,4g overwater,m,,67.000000000000000,3D,,FALSE,TRUE,-63.449075660999938,45.287889550000045,0.000000000000000,60.9080009
5779,NS-2023-16,2023-11-19 03:58:56,-63.449100500000000,45.287872299999997,30289447219,4g overwater,m,,69.000000000000000,3D,,FALSE,TRUE,-63.449102360999973,45.287862850000067,0.000000000000000,60.8280067
5790,NS-2023-16,2023-11-23 01:59:28,-63.448715200000002,45.288051600000003,30343576409,4g overwater,m,,67.000000000000000,3D,,FALSE,TRUE,-63.448717060999968,45.288042150000081,0.000000000000000,62.2860069
5791,NS-2023-16,2023-11-23 03:58:56,-63.448715200000002,45.288051600000003,30343576415,4g overwater,m,,63.000000000000000,3D,,FALSE,TRUE,-63.448717060999968,45.288042150000081,0.000000000000000,62.2860069
5792,NS-2023-16,2023-11-24 00:02:08,-63.448871599999997,45.287818899999998,30343576424,4g overwater,m,,63.000000000000000,3D,,FALSE,TRUE,-63.448873460999948,45.287809450000054,0.000000000000000,61.5080070
5793,NS-2023-16,2023-11-24 02:01:36,-63.448921200000001,45.287769300000001,30343576429,4g overwater,m,,67.000000000000000,3D,,FALSE,TRUE,-63.448923060999959,45.287759850000043,0.000000000000000,61.3030052
5794,NS-2023-16,2023-11-24 04:01:04,-63.448921200000001,45.287769300000001,30343576434,4g overwater,m,,65.000000000000000,3D,,FALSE,TRUE,-63.448923060999959,45.287759850000043,0.000000000000000,61.3030052
5800,NS-2023-16,2023-11-28 00:02:08,-63.446975700000003,45.288024900000003,30345319751,4g overwater,m,,0.000000000000000,2D,,FALSE,TRUE,-63.446977560999983,45.288015450000046,0.000000000000000,69.6070099
5801,NS-2023-16,2023-11-28 02:01:36,-63.448900000000002,45.287700000000001,30351192499,4g overwater,m,,64.000000000000000,3D,,FALSE,TRUE,-63.448901860999968,45.287690550000036,0.000000000000000,61.2920036
5802,NS-2023-16,2023-11-28 04:01:04,-63.448900000000002,45.287700000000001,30351192500,4g overwater,m,,74.000000000000000,3D,,FALSE,TRUE,-63.448901860999968,45.287690550000036,0.000000000000000,61.2920036
5148,NC-2022-42,2022-08-19 16:02:08,-63.418331100000003,45.290740999999997,23503663050,?g- lazarus,m,,41.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.418332970999984,45.290731549000043,0.000000000000000,31.2950020
5129,NC-2022-42,2022-04-30 18:59:12,-63.417919200000000,45.294910399999999,22034920047,?g- lazarus,m,,38.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.417921070999967,45.294900948000077,0.000000000000000,32.8680000
