,ID,time,lon,lat,event_id,tagtype,sex,age,height_above_wgs84,fix,point_state,designated_before,moving,on_land,on_land_designation_RLD,distance_offshore_meters,geometry,
173,RI-2021-52,2/20/2022 19:01,-72.1673889,41.319973,21335177782,5g- RI Nesting ,f,Hatch Year,32,3D,,FALSE,FALSE,FALSE,,,c(-72.1673889, 41.319973)
174,RI-2021-52,3/4/2022 19:01,-72.1673889,41.3199501,21517098643,5g- RI Nesting ,f,Hatch Year,51,3D,,FALSE,FALSE,FALSE,,,c(-72.1673889, 41.3199501)
175,RI-2021-52,3/6/2022 15:02,-72.1673584,41.3199997,21517098659,5g- RI Nesting ,f,Hatch Year,29,3D,,FALSE,FALSE,FALSE,,,c(-72.1673584, 41.3199997)
176,RI-2021-52,3/8/2022 19:01,-72.1674881,41.319973,21551806728,5g- RI Nesting ,f,Hatch Year,20,3D,,FALSE,FALSE,FALSE,,,c(-72.1674881, 41.319973)
177,RI-2021-52,3/10/2022 15:02,-72.1674347,41.319973,21551806732,5g- RI Nesting ,f,Hatch Year,38,3D,,FALSE,FALSE,FALSE,,,c(-72.1674347, 41.319973)
178,RI-2021-52,3/12/2022 19:01,-72.1673889,41.319973,21551806744,5g- RI Nesting ,f,Hatch Year,34,2D,,FALSE,FALSE,FALSE,,,c(-72.1673889, 41.319973)
179,RI-2021-52,3/14/2022 15:02,-72.1673584,41.3200264,21551806769,5g- RI Nesting ,f,Hatch Year,34,2D,,FALSE,FALSE,FALSE,,,c(-72.1673584, 41.3200264)
180,RI-2021-52,3/16/2022 19:01,-72.1675644,41.320076,21551806785,5g- RI Nesting ,f,Hatch Year,34,2D,,FALSE,FALSE,FALSE,,,c(-72.1675644, 41.320076)
181,RI-2021-52,3/18/2022 15:02,-72.1674881,41.3199234,21551806811,5g- RI Nesting ,f,Hatch Year,34,2D,,FALSE,FALSE,FALSE,,,c(-72.1674881, 41.3199234)
183,SC-2021-22,5/27/2021 16:00,-69.6390762,44.0190849,19033909948,4g- hybrid,m,After Second Year,59,3D,Point state: Summer,TRUE,FALSE,FALSE,,,c(-69.6390762, 44.0190849)
184,SC-2021-22,7/8/2021 16:00,-69.6388474,44.0190086,19463274529,4g- hybrid,m,After Second Year,56,3D,Point state: Summer,TRUE,FALSE,FALSE,,,c(-69.6388474, 44.0190086)
185,SC-2021-22,7/14/2021 16:00,-69.6389008,44.0191612,19463274536,4g- hybrid,m,After Second Year,53,3D,Point state: Summer,TRUE,FALSE,FALSE,,,c(-69.6389008, 44.0191612)
213,VA-2020-51,3/21/2020 1:59,-64.6288528,45.399231,14301614161,4g - Infrequent,m,Hatch Year,NA,3D,Point state: Migratory (spring),FALSE,TRUE,FALSE,,,c(-64.6288528, 45.399231)
214,VA-2020-51,3/22/2020 12:58,-64.2504044,45.3922157,14301614162,4g - Infrequent,m,Hatch Year,NA,3D,Point state: Migratory (spring),FALSE,FALSE,FALSE,,,c(-64.2504044, 45.3922157)
215,VA-2020-51,3/24/2020 19:01,-64.2503815,45.3922691,14301614163,4g - Infrequent,m,Hatch Year,NA,3D,Point state: Migratory (spring),FALSE,FALSE,FALSE,,,c(-64.2503815, 45.3922691)
216,VA-2020-51,3/27/2020 1:59,-64.2505569,45.3924217,14301614164,4g - Infrequent,m,Hatch Year,NA,3D,Point state: Migratory (spring),FALSE,FALSE,FALSE,,,c(-64.2505569, 45.3924217)
217,VA-2020-51,3/30/2020 19:01,-64.2499695,45.3924217,14301614165,4g - Infrequent,m,Hatch Year,NA,3D,Point state: Migratory (spring),FALSE,FALSE,FALSE,,,c(-64.2499695, 45.3924217)
218,VA-2020-51,4/27/2020 12:58,-62.5421448,46.1911697,14504686078,4g - Infrequent,m,Hatch Year,NA,3D,Point state: Migratory (spring),FALSE,FALSE,FALSE,,,c(-62.5421448, 46.1911697)
219,VA-2020-51,4/29/2020 19:01,-62.5422974,46.1911926,14656089850,4g - Infrequent,m,Hatch Year,NA,3D,Point state: Migratory (spring),FALSE,FALSE,FALSE,,,c(-62.5422974, 46.1911926)
232,VT-2021-28,3/18/2022 4:01,-70.1431427,43.7573776,21551806807,4g - infreq,m,Hatch Year,15,3D,Point state: Migratory (spring),TRUE,TRUE,FALSE,,,c(-70.1431427, 43.7573776)
