"Movebank ID","lon","lat","tagtype","sex","age","height_above_ellipsoid","fix","elev_geoid","terrain_height","alt_hat","time","sunrise","sunset","day_night"
"VA-2020-72",-80.4211578,36.5756302,"6.3g - Frequent","f","After Hatch Year",620,"3D",654.081172831,435,219.081172831,2020-12-04 02:59:12,2020-12-04 12:19:50,2020-12-04 22:07:21,"Night"
"SC-2021-22",-78.5303192,36.7952271,"4g- hybrid","m","After Second Year",1164,"3D",1196.68894305,152,1044.68894305,2021-03-01 05:00:48,2021-03-01 11:46:07,2021-03-01 23:09:40,"Night"
"GA-2021-22",-85.2665482,36.9541512,"5g- hybrid","f","Second Year",417,"3D",449.4833183,244,205.4833183,2021-03-01 05:00:48,2021-03-01 12:13:09,2021-03-01 23:36:30,"Night"
"NC-2021-25",-79.9591293,37.2046204,"4g- hybrid","m","Second Year",1125,"3D",1158.7348071,373,785.7348071,2021-03-22 03:58:56,2021-03-22 11:21:21,2021-03-22 23:34:26,"Night"
"VT-2020-18",-78.8041382,36.9187469,"4g - Infrequent","m","Hatch Year",248,"3D",280.64295999,115,165.64295999,2020-12-06 04:58:40,2020-12-06 12:15:58,2020-12-06 21:59:55,"Night"
"NC-2020-19",-78.5168228,37.0470772,"6.3g - Night","f","After Second Year",406,"3D",438.568695195,174,264.568695195,2020-03-20 04:01:04,2020-03-20 11:18:14,2020-03-20 23:27:06,"Night"
"NC-2021-30",-79.2539291,37.3203087,"5g- hybrid","f","After Second Year",1026,"3D",1059.15489842,274,785.15489842,2021-03-22 03:58:56,2021-03-22 11:18:31,2021-03-22 23:31:37,"Night"
"VT-2020-15",-78.5576324,37.5085678,"5g - Frequent","f","Hatch Year",250,"3D",282.740695153,152,130.740695153,2020-12-20 04:58:40,2020-12-20 12:26:16,2020-12-20 22:00:28,"Night"
"VA-2020-71",-77.0194016,37.4413185,NA,"m","After Hatch Year",106,"3D",141.514457238,26,115.514457238,2020-11-22 02:59:12,2020-11-22 11:56:51,2020-11-22 21:54:49,"Night"
"VA-2020-75",-77.0139236,37.4269562,NA,"f","After Hatch Year",90,"3D",125.555363759,7,118.555363759,2020-11-16 08:57:36,2020-11-16 11:50:29,2020-11-16 21:58:14,"Night"
"VA-2020-78",-77.0289536,37.435276,NA,"m","After Hatch Year",113,"3D",148.475911429,2,146.475911429,2021-01-04 03:01:20,2021-01-04 12:24:09,2021-01-04 22:04:27,"Night"
"VA-2020-86",-77.0143356,37.4264183,NA,"f","After Hatch Year",181,"3D",216.553829741,8,208.553829741,2020-12-17 08:59:44,2020-12-17 12:18:11,2020-12-17 21:53:19,"Night"
"SC-2020-16",-80.5828247,37.877491,"6.3g - Night","f","Second Year",856,"3D",888.534312994,700,188.534312994,2020-04-16 03:58:56,2020-04-16 10:46:05,2020-04-17 00:00:04,"Night"
"NC-2020-20",-79.5282593,37.7824402,"4g - Night","m","Second Year",1251,"3D",1284.50663901,411,873.50663901,2020-04-05 04:01:04,2020-04-05 10:57:49,2020-04-05 23:45:41,"Night"
"VT-2020-18",-78.2730331,37.6223869,"4g - Infrequent","m","Hatch Year",233,"3D",266.113539402,107,159.113539402,2020-11-28 04:58:40,2020-11-28 12:08:22,2020-11-28 21:57:06,"Night"
"SC-2021-24",-77.435791,37.7400703,"4g- hybrid","m","Second Year",288,"3D",322.161181762,63,259.161181762,2021-03-25 04:01:04,2021-03-25 11:06:35,2021-03-25 23:27:07,"Night"
"VT-2020-16",-77.4284439,37.8448524,"4g - Night","f","Hatch Year",563,"3D",597.060211459,15,582.060211459,2020-10-31 03:58:56,2020-10-31 11:35:48,2020-10-31 22:13:17,"Night"
"VT-2020-15",-77.90168,38.1494141,"5g - Frequent","f","Hatch Year",241,"3D",274.661044377,93,181.661044377,2020-11-02 05:02:56,2020-11-02 11:40:20,2020-11-02 22:12:30,"Night"
"AL-2021-11",-86.5598068,38.2570877,"5g- hybrid","f","Second Year",294,"3D",328.23401723,194,134.23401723,2021-03-04 05:02:56,2021-03-04 12:15:01,2021-03-04 23:43:42,"Night"
"FL-2021-03",-85.9333725,38.3448448,"4g- hybrid","m","After Second Year",556,"3D",590.563943113,243,347.563943113,2021-03-16 03:58:56,2021-03-16 11:54:25,2021-03-16 23:52:51,"Night"
"GA-2021-21",-85.9388046,38.8573303,"5g- hybrid","f","After Second Year",537,"3D",572.032314909,173,399.032314909,2021-03-28 03:58:56,2021-03-28 11:35:30,2021-03-29 00:04:20,"Night"
"SC-2020-16",-79.4891129,38.6501503,"6.3g - Night","f","Second Year",1175,"3D",1207.03614327,849,358.03614327,2020-04-17 04:01:04,2020-04-17 10:39:20,2020-04-17 23:57:38,"Night"
"NC-2021-28",-78.1250687,38.6111603,"5g- hybrid","f","After Second Year",808,"3D",842.015664348,176,666.015664348,2021-03-31 04:01:04,2021-03-31 10:59:41,2021-03-31 23:35:46,"Night"
"GA-2021-17",-76.9963684,38.7037315,"5g- hybrid","f","After Second Year",335,"3D",368.809158837,61,307.809158837,2021-03-10 04:58:40,2021-03-10 11:28:03,2021-03-10 23:11:10,"Night"
"SC-2020-12",-84.2018204,39.0581627,"6.3g - Night","f","Second Year",663,"3D",698.193675157,252,446.193675157,2020-04-07 04:01:04,2020-04-07 11:12:25,2020-04-08 00:07:19,"Night"
"NC-2021-24",-83.2339096,38.9693565,"4g- hybrid","m","Second Year",401,"3D",435.164704252,245,190.164704252,2021-03-04 04:58:40,2021-03-04 12:02:12,2021-03-04 23:29:55,"Night"
"GA-2021-18",-80.5320816,39.0443649,"5g- hybrid","f","Second Year",496,"3D",529.768070576,410,119.768070576,2021-05-09 03:58:56,2021-05-09 10:16:06,2021-05-10 00:23:38,"Night"
"ME-2020-14",-76.2000275,39.0354805,"4g - Night","m","Hatch Year",96,"3D",130.913542911,0,130.913542911,2020-11-28 04:58:40,2020-11-28 12:03:44,2020-11-28 21:45:08,"Night"
"SC-2021-22",-74.7948914,39.1242371,"4g- hybrid","m","After Second Year",168,"3D",204.372130625,7,197.372130625,2021-03-04 04:58:40,2021-03-04 11:28:35,2021-03-04 22:56:02,"Night"
"VT-2020-16",-75.3730469,39.3689461,"4g - Night","f","Hatch Year",123,"3D",158.199696197,1,157.199696197,2020-10-26 04:01:04,2020-10-26 11:24:32,2020-10-26 22:08:38,"Night"
"SC-2020-16",-78.1459045,39.8352509,"6.3g - Night","f","Second Year",424,"3D",459.161005555,195,264.161005555,2020-04-25 04:01:04,2020-04-25 10:21:13,2020-04-26 00:01:59,"Night"
"AL-2021-09",-79.8274918,40.0505714,"4g- hybrid","m","After Second Year",1926,"3D",1960.30993423,332,1628.30993423,2021-03-31 04:01:04,2021-03-31 11:05:40,2021-03-31 23:43:24,"Night"
"NC-2021-23",-74.1572189,39.9980659,"4g- hybrid","m","Second Year",91,"3D",125.299702606,2,123.299702606,2021-03-25 04:01:04,2021-03-25 10:52:50,2021-03-25 23:14:39,"Night"
"ME-2020-14",-75.2398,41.1,"4g - Night","m","Hatch Year",902,"3D",936.075229876,288,648.075229876,2020-11-13 05:00:48,2020-11-13 11:48:13,2020-11-13 21:45:12,"Night"
"NC-2020-19",-75.4751587,41.1629944,"6.3g - Night","f","After Second Year",836,"3D",869.457097927,527,342.457097927,2020-03-27 03:58:56,2020-03-27 10:53:56,2020-03-27 23:22:40,"Night"
"VT-2020-18",-74.2085266,41.2018547,"4g - Infrequent","m","Hatch Year",692,"3D",725.166854931,169,556.166854931,2020-10-31 03:58:56,2020-10-31 11:28:34,2020-10-31 21:54:46,"Night"
"VA-2020-63",-80.9100952,41.5339127,"6.3g - Frequent","m","Hatch Year",2429,"3D",2464.18770155,244,2220.18770155,2021-03-25 03:01:20,2021-03-25 11:19:21,2021-03-25 23:42:09,"Night"
"RI-2020-34",-71.6732788,41.4429054,"4g - Hybrid","f","Hatch Year",168,"3D",199.661395339,22,177.661395339,2020-09-19 01:42:24,2020-09-19 10:32:48,2020-09-19 22:50:32,"Night"
"NC-2021-25",-80.2098541,41.838501,"4g- hybrid","m","Second Year",634,"3D",669.354876149,403,266.354876149,2021-03-25 04:01:04,2021-03-25 11:16:27,2021-03-25 23:39:26,"Night"
"GA-2021-14",-78.7661209,41.7215118,"4g- hybrid","m","After Second Year",832,"3D",865.118291607,596,269.118291607,2021-03-22 03:58:56,2021-03-22 11:15:54,2021-03-22 23:30:21,"Night"
"SC-2021-18",-75.3858185,41.6058235,"4g- hybrid","m","After Second Year",555,"3D",586.984220845,428,158.984220845,2021-03-28 03:58:56,2021-03-28 10:52:07,2021-03-28 23:23:18,"Night"
"VT-2020-10",-74.0656281,41.8542213,"5g - Night","m","Hatch Year",420,"3D",452.953034858,59,393.953034858,2020-11-15 05:00:48,2020-11-15 11:47:45,2020-11-15 21:36:59,"Night"
"NC-2021-23",-73.3957214,41.7591438,"4g- hybrid","m","Second Year",787,"3D",818.061530655,391,427.061530655,2021-03-28 03:58:56,2021-03-28 10:44:06,2021-03-28 23:15:24,"Night"
"AL-2020-05",-90.1589355,42.0977783,"4g - Night","m","After Second Year",1188,"3D",1222.18967295,180,1042.18967295,2020-03-16 04:01:04,2020-03-16 12:11:19,2020-03-17 00:09:35,"Night"
"VT-2020-15",-73.3771133,41.9812469,"5g - Frequent","f","Hatch Year",446,"3D",477.188029727,218,259.188029727,2020-10-31 03:58:56,2020-10-31 11:26:38,2020-10-31 21:50:03,"Night"
"AL-2021-10",-79.4079132,42.2764931,"5g- hybrid","f","After Second Year",1774,"3D",1809.32394736,472,1337.32394736,2021-03-31 04:01:04,2021-03-31 11:02:40,2021-03-31 23:43:03,"Night"
"VT-2020-06",-73.6450424,42.3793793,"5g - Frequent","m","Hatch Year",242,"3D",274.569551961,125,149.569551961,2020-11-18 05:02:56,2020-11-18 11:51:06,2020-11-18 21:31:31,"Night"
"VA-2020-81",-74.2065048,42.9088898,NA,"f","After Hatch Year",317,"3D",349.117559992,216,133.117559992,2021-04-05 01:59:28,2021-04-05 10:32:44,2021-04-05 23:28:21,"Night"
"NC-2021-23",-72.2455444,42.9154701,"4g- hybrid","m","Second Year",1000,"3D",1028.85564237,165,863.85564237,2021-03-31 04:01:04,2021-03-31 10:33:39,2021-03-31 23:14:47,"Night"
"AL-2020-05",-82.7463531,43.0882416,"4g - Night","m","After Second Year",1188,"3D",1223.73707823,239,984.73707823,2020-03-26 04:01:04,2020-03-26 11:23:56,2020-03-26 23:51:27,"Night"
"VA-2020-71",-86.3963242,43.3932686,NA,"m","After Hatch Year",296,"3D",331.311990302,192,139.311990302,2021-07-13 03:01:20,2021-07-13 10:18:20,2021-07-14 01:26:32,"Night"
"ME-2020-16",-70.417366,43.4267769,"5g - Frequent","m","After Hatch Year",216,"3D",243.450627742,13,230.450627742,2020-11-18 04:58:40,2020-11-18 11:40:59,2020-11-18 21:15:49,"Night"
"NC-2021-24",-85.4955902,43.6285057,"4g- hybrid","m","Second Year",406,"3D",439.976102959,286,153.976102959,2021-03-28 03:58:56,2021-03-28 11:31:32,2021-03-29 00:04:44,"Night"
"VT-2020-16",-72.1717148,44.0749969,"4g - Night","f","Hatch Year",613,"3D",641.692083619,391,250.692083619,2020-10-25 03:58:56,2020-10-25 11:17:47,2020-10-25 21:49:58,"Night"
"VT-2020-13",-73.7384567,44.3801231,"4g - Night","m","Hatch Year",502,"3D",531.699558293,263,268.699558293,2020-11-22 04:58:40,2020-11-22 12:02:05,2020-11-22 21:23:19,"Night"
"SC-2020-16",-74.66436,44.7194748,"6.3g - Night","f","Second Year",354,"3D",385.215276823,207,178.215276823,2020-04-28 03:58:56,2020-04-28 09:53:33,2020-04-29 00:00:56,"Night"
"NC-2020-19",-71.843544,44.9482384,"6.3g - Night","f","After Second Year",529,"3D",557.628471774,436,121.628471774,2020-04-05 04:01:04,2020-04-05 10:20:56,2020-04-05 23:21:07,"Night"
"VA-2021-92",-71.9611282,44.8198013,NA,NA,NA,1751,"3D",1779.65287865,353,1426.65287865,2021-04-20 03:01:20,2021-04-20 09:55:39,2021-04-20 23:39:56,"Night"
"VT-2020-16",-71.6967545,44.8176498,"4g - Night","f","Hatch Year",512,"3D",540.47448879,417,123.47448879,2020-10-06 04:01:04,2020-10-06 10:52:32,2020-10-06 22:19:20,"Night"
"AL-2021-09",-68.3089294,44.8714867,"4g- hybrid","m","After Second Year",345,"3D",370.482519768,110,260.482519768,2021-04-09 03:58:56,2021-04-09 10:00:05,2021-04-09 23:11:34,"Night"
